,lat,lon,labels
1436,28.5622214,77.2449743,2
1437,28.5622256,77.244996,2
1438,28.5622333,77.2688316,14
1439,28.5622334,77.2450357,2
1440,28.5622495,77.1941669,11
1441,28.5622825,77.2232049,2
1442,28.5622949,77.2768638,-1
1443,28.5623227,77.2652427,14
1444,28.5623487,77.2662529,14
1445,28.5623491,77.1878147,11
1446,28.562363,77.2686705,14
1447,28.5624309,77.0533592,15
1448,28.5624816,77.2448456,2
1449,28.5624857,77.2446429,2
1450,28.5625256,77.268987,14
1451,28.5625276,77.2827257,-1
1452,28.5625301,77.2239752,2
1453,28.5626341,77.2688626,14
1454,28.5626504,77.2446068,2
1455,28.5626549,77.2134745,11
1456,28.5626601,77.244865,2
1457,28.5627284,77.2297621,2
1458,28.5628238,77.2249267,2
1459,28.5628638,77.2248731,2
1460,28.5628737,77.2404201,2
1461,28.5629027,77.2685753,14
1462,28.562941,77.2074126,11
1463,28.5630146,77.2243588,2
1464,28.5630357,77.239303,2
1465,28.5630649,77.2442537,2
1466,28.5631023,77.2798074,-1
1467,28.5631447,77.1659554,12
1468,28.5631714,77.161428,12
1469,28.5632261,77.2297159,2
1470,28.5632279,77.2243948,2
1471,28.5632467,77.2647429,14
1472,28.5634174,77.240095,2
1473,28.5634458,77.2344541,2
1474,28.5636137,77.2361881,2
1475,28.5637147,77.2354953,2
1476,28.5637249,77.0574223,15
1477,28.563802,77.2340657,2
1478,28.563802,77.2342233,2
1479,28.5638032,77.2342501,2
1480,28.5638795,77.2342972,2
1481,28.5639952,77.2342912,2
1482,28.5640001,77.1909497,11
1483,28.564158,77.2342766,2
1484,28.5642198,77.0578228,15
1485,28.5642484,77.2077124,11
1486,28.5643499,77.2238792,2
1487,28.5644881,77.1892359,11
1488,28.5645188,77.2407129,2
1489,28.5645258,77.2408202,2
1490,28.5645418,77.2399229,2
1491,28.5645487,77.1779249,-1
1492,28.5645663,77.250299,2
1493,28.5645881,77.2339972,2
1494,28.5646415,77.2503369,2
1495,28.5646484,77.0544612,15
1496,28.5646831,77.2376212,2
1497,28.564685,77.239101,2
1498,28.5647144,77.1893283,11
1499,28.5647343,77.2403629,2
1500,28.5648745,77.055416,15
1501,28.5648917,77.2357443,2
1502,28.5649455,77.24678,2
1503,28.5649509,77.2468083,2
1504,28.5649687,77.0584523,15
1505,28.564971,77.1635663,12
1506,28.5649944,77.1673028,12
1507,28.5650245,77.1632678,12
1508,28.5650324,77.1672942,12
1509,28.5650539,77.2482622,2
1510,28.5650693,77.2485237,2
1511,28.5650954,77.2412044,2
1512,28.5651242,77.2488717,2
1513,28.5651309,77.2489725,2
1514,28.5651736,77.1672697,12
1515,28.5651928,77.1674642,12
1516,28.5652278,77.1671988,12
1517,28.565255,77.2072628,11
1518,28.5652603,77.2879233,-1
1519,28.5652854,77.2303437,2
1520,28.5654375,77.2671483,14
1521,28.5654851,77.2458366,2
1522,28.5654935,77.0005244,-1
1523,28.5655452,77.2304082,2
1524,28.5655709,77.2703483,14
1525,28.5656044,77.2442543,2
1526,28.5656213,77.2362927,2
1527,28.5656809,77.2244304,2
1528,28.5657051,77.1964155,11
1529,28.5657199,77.1609365,12
1530,28.565734,77.188803,11
1531,28.5657391,77.2466934,2
1532,28.5658169,77.2479782,2
1533,28.5658233,77.2412348,2
1534,28.5658314,77.1666541,12
1535,28.5658588,77.1767011,-1
1536,28.5658805,77.2421387,2
1537,28.5658843,77.2746349,14
1538,28.565899,77.1909467,11
1539,28.5659039,77.1999152,11
1540,28.5659914,77.1765755,-1
1541,28.566016,77.2338177,2
1542,28.5660178,77.1946519,11
1543,28.5660403,77.2465503,2
1544,28.5660408,77.2081138,11
1545,28.5660442,77.2506136,2
1546,28.5660458,77.1665265,12
1547,28.5662032,77.2307872,2
1548,28.5662292,77.2746488,14
1549,28.5662573,77.2679959,14
1550,28.5663201,77.0566791,15
1551,28.5663367,77.1941388,11
1552,28.5663466,77.2340571,2
1553,28.5663672,77.207556,11
1554,28.5663769,77.2465179,2
1555,28.5664001,77.2465554,2
1556,28.566437,77.1362483,-1
1557,28.5664469,77.2484913,2
1558,28.5664664,77.2484913,2
1559,28.566497,77.2484873,2
1560,28.5664977,77.2460742,2
1561,28.5665107,77.2513052,2
1562,28.5665162,77.1895832,11
1563,28.5665347,77.2113414,11
1564,28.5665364,77.2484846,2
1565,28.5665923,77.2466439,2
1566,28.5666266,77.2466668,2
1567,28.5666431,77.2292636,2
1568,28.566689,77.2485614,2
1569,28.5666919,77.2486547,2
1570,28.5667237,77.2484377,2
1571,28.566746,77.1634431,12
1572,28.5667817,77.2420176,2
1573,28.5667966,77.2088857,11
1574,28.5668103,77.2487837,2
1575,28.5668414,77.2463633,2
1576,28.566845,77.2355685,2
1577,28.5668787,77.2467816,2
1578,28.5669015,77.2467943,2
1579,28.5669263,77.2679745,14
1580,28.566966,77.2468415,2
1581,28.5670067,77.2468669,2
1582,28.5670436,77.2451996,2
1583,28.5670651,77.2340509,2
1584,28.5670801,77.2469115,2
1585,28.5671407,77.2449966,2
1586,28.567162,77.2401753,2
1587,28.567241,77.1889413,11
1588,28.567241,77.2482732,2
1589,28.5672457,77.1887488,11
1590,28.5672645,77.1884658,11
1591,28.5672852,77.1656027,12
1592,28.5673145,77.2101813,11
1593,28.5673414,77.1588657,12
1594,28.567348,77.2076039,11
1595,28.5673557,77.1655676,12
1596,28.5673612,77.1589118,12
1597,28.567374,77.158941,12
1598,28.5674068,77.2445576,2
1599,28.5674172,77.1882654,11
1600,28.5674187,77.1937231,11
1601,28.5674361,77.2466759,2
1602,28.5674673,77.2477385,2
1603,28.5674837,77.1591119,12
1604,28.5675518,77.208181,11
1605,28.5675775,77.1627563,12
1606,28.5675801,77.2466881,2
1607,28.5675911,77.2480073,2
1608,28.5676224,77.2467184,2
1609,28.5676371,77.1607705,12
1610,28.5676662,77.2246118,2
1611,28.5676803,77.2472215,2
1612,28.5677043,77.18903,11
1613,28.5677074,77.2246261,2
1614,28.5677083,77.1943724,11
1615,28.5677385,77.2244999,2
1616,28.5677723,77.2464393,2
1617,28.5677726,77.1626233,12
1618,28.567774,77.2472784,2
1619,28.5677764,77.2464867,2
1620,28.5677805,77.2245193,2
1621,28.5677814,77.1606643,12
1622,28.5677867,77.2464547,2
1623,28.5677918,77.2464392,2
1624,28.5677958,77.2246313,2
1625,28.5678415,77.1890504,11
1626,28.5678636,77.1752123,-1
1627,28.5678663,77.247302,2
1628,28.5678667,77.1855441,11
1629,28.5678756,77.2489882,2
1630,28.5678761,77.162381,12
1631,28.5678793,77.1945428,11
1632,28.5678931,77.24731,2
1633,28.5679295,77.2236904,2
1634,28.5679304,77.1594144,12
1635,28.5679314,77.2473791,2
1636,28.5679494,77.24126,2
1637,28.5679552,77.2199329,2
1638,28.5679954,77.1592565,12
1639,28.5680017,77.2459446,2
1640,28.5680641,77.249967,2
1641,28.5681417,77.2470469,2
1642,28.5681541,77.2462433,2
1643,28.5681853,77.2192919,2
1644,28.568206,77.2056987,11
1645,28.5682078,77.2008888,11
1646,28.5682241,77.2358957,2
1647,28.568231,77.253059,2
1648,28.568246,77.2470384,2
1649,28.5682549,77.2181393,2
1650,28.5682663,77.1589085,12
1651,28.5682855,77.1847935,11
1652,28.5683377,77.1889265,11
1653,28.568353,77.247529,2
1654,28.5683579,77.2187282,2
1655,28.5683654,77.2186625,2
1656,28.5684294,77.1870021,11
1657,28.5684348,77.2171793,2
1658,28.5684534,77.1648845,12
1659,28.5684632,77.2472011,2
1660,28.5684939,77.1890877,11
1661,28.5685838,77.2496903,2
1662,28.5686257,77.2355501,2
1663,28.5686538,77.2444242,2
1664,28.5686838,77.2443602,2
1665,28.568734,77.221368,2
1666,28.5688043,77.2473905,2
1667,28.5688113,77.2478166,2
1668,28.5688158,77.1991063,11
1669,28.5688196,77.2478516,2
1670,28.568831,77.186991,11
1671,28.5688506,77.2416474,2
1672,28.5688674,77.2134421,2
1673,28.5689024,77.188864,11
1674,28.5689101,77.2257334,2
1675,28.5689166,77.2421596,2
1676,28.5689221,77.2121633,2
1677,28.5689349,77.2442536,2
